story,gen,ind,model,temp,valid,validation,fitness,time_llm,time_lean,sgm_sd_sum,sgm_max,lcom_avg,coupling_max
g02-federalspending,1,1,gpt-5.1,0.5,True,,44.852,32.11,2.71,10.51,22.0,0.342,12.0
g02-federalspending,1,2,gpt-5.1,0.5,True,,33.035,30.01,2.31,11.628,13.0,0.407,8.0
g02-federalspending,1,3,gpt-5.1,0.5,True,,32.789,30.88,2.69,6.544,19.0,0.245,7.0
g02-federalspending,1,4,gpt-5.1,0.5,True,,49.327,28.73,2.85,6.137,30.0,0.19,13.0
g02-federalspending,1,5,gpt-5.1,0.5,True,,37.06,31.02,5.76,6.908,13.0,0.152,17.0
g02-federalspending,1,6,gpt-5.1,0.5,True,,76.193,34.21,3.0,7.083,46.0,0.11,23.0
g02-federalspending,1,7,gpt-5.1,0.5,True,,56.394000000000005,39.0,2.8,7.236,17.0,0.158,32.0
g02-federalspending,1,8,gpt-5.1,0.5,True,,51.853,33.78,2.85,5.738,38.0,0.115,8.0
g02-federalspending,1,9,gpt-5.1,0.5,True,,38.019,31.54,2.68,12.641,18.0,0.378,7.0
g02-federalspending,2,0,gpt-5.1,0.5,True,,26.130000000000003,0.0,0.0,13.035,8.0,0.095,5.0
g02-federalspending,2,1,gpt-5.1,0.5,True,,32.789,0.0,0.0,6.544,19.0,0.245,7.0
g02-federalspending,2,2,gpt-5.1,0.5,True,,33.035,0.0,0.0,11.628,13.0,0.407,8.0
g02-federalspending,2,3,gpt-5.1,0.5,True,,37.06,0.0,0.0,6.908,13.0,0.152,17.0
g02-federalspending,2,4,gpt-5.1,0.5,True,,38.019,0.0,0.0,12.641,18.0,0.378,7.0
g02-federalspending,2,5,gpt-5.1,0.5,True,,29.188,33.71,2.75,13.908,5.0,0.28,10.0
g02-federalspending,2,6,gpt-5.1,0.5,True,,33.153,31.74,2.51,16.835,5.0,0.318,11.0
g02-federalspending,2,7,gpt-5.1,0.5,True,,31.154,38.55,2.72,13.896,5.0,0.258,12.0
g02-federalspending,2,8,gpt-5.1,0.5,False,Unknown callee: HistoricalDataLoader,,24.79,2.7,,,,
g02-federalspending,2,9,gpt-5.1,0.5,False,Unknown caller: UserTestingManagement,,31.81,1.98,,,,
g02-federalspending,3,0,gpt-5.1,0.5,True,,26.130000000000003,0.0,0.0,13.035,8.0,0.095,5.0
g02-federalspending,3,1,gpt-5.1,0.5,True,,29.188,0.0,0.0,13.908,5.0,0.28,10.0
g02-federalspending,3,2,gpt-5.1,0.5,True,,31.154,0.0,0.0,13.896,5.0,0.258,12.0
g02-federalspending,3,3,gpt-5.1,0.5,True,,32.789,0.0,0.0,6.544,19.0,0.245,7.0
g02-federalspending,3,4,gpt-5.1,0.5,True,,33.035,0.0,0.0,11.628,13.0,0.407,8.0
g02-federalspending,3,5,gpt-5.1,0.5,True,,31.913,19.61,2.84,14.641,6.0,0.272,11.0
g02-federalspending,3,6,gpt-5.1,0.5,True,,31.154,23.68,2.94,13.896,5.0,0.258,12.0
g02-federalspending,3,7,gpt-5.1,0.5,True,,33.275000000000006,26.56,2.75,16.007,5.0,0.268,12.0
g02-federalspending,3,8,gpt-5.1,0.5,True,,29.209,25.98,2.74,13.937,5.0,0.272,10.0
g02-federalspending,3,9,gpt-5.1,0.5,True,,31.965,22.9,1.61,14.72,5.0,0.245,12.0
g02-federalspending,4,0,gpt-5.1,0.5,True,,26.130000000000003,0.0,0.0,13.035,8.0,0.095,5.0
g02-federalspending,4,1,gpt-5.1,0.5,True,,29.188,0.0,0.0,13.908,5.0,0.28,10.0
g02-federalspending,4,2,gpt-5.1,0.5,True,,29.209,0.0,0.0,13.937,5.0,0.272,10.0
g02-federalspending,4,3,gpt-5.1,0.5,True,,31.154,0.0,0.0,13.896,5.0,0.258,12.0
g02-federalspending,4,4,gpt-5.1,0.5,True,,31.154,0.0,0.0,13.896,5.0,0.258,12.0
g02-federalspending,4,5,gpt-5.1,0.5,True,,40.927,30.45,2.73,19.717,8.0,0.21,13.0
g02-federalspending,4,6,gpt-5.1,0.5,True,,33.495999999999995,37.46,2.13,14.229,5.0,0.267,14.0
g02-federalspending,4,7,gpt-5.1,0.5,True,,37.117999999999995,36.87,2.82,17.862,5.0,0.256,14.0
g02-federalspending,4,8,gpt-5.1,0.5,True,,32.728,26.65,6.21,14.453,8.0,0.275,10.0
g02-federalspending,4,9,gpt-5.1,0.5,True,,29.209,17.93,2.78,13.937,5.0,0.272,10.0
g02-federalspending,5,0,gpt-5.1,0.5,True,,26.130000000000003,0.0,0.0,13.035,8.0,0.095,5.0
g02-federalspending,5,1,gpt-5.1,0.5,True,,29.188,0.0,0.0,13.908,5.0,0.28,10.0
g02-federalspending,5,2,gpt-5.1,0.5,True,,29.209,0.0,0.0,13.937,5.0,0.272,10.0
g02-federalspending,5,3,gpt-5.1,0.5,True,,29.209,0.0,0.0,13.937,5.0,0.272,10.0
g02-federalspending,5,4,gpt-5.1,0.5,True,,31.154,0.0,0.0,13.896,5.0,0.258,12.0
g02-federalspending,5,5,gpt-5.1,0.5,False,Unknown caller: USAspendingIntegration,,23.9,2.31,,,,
g02-federalspending,5,6,gpt-5.1,0.5,True,,37.068,56.35,2.72,18.844,8.0,0.224,10.0
g02-federalspending,5,7,gpt-5.1,0.5,False,Unknown caller: D1FileGeneration,,28.78,2.7,,,,
g02-federalspending,5,8,gpt-5.1,0.5,True,,29.629,23.25,2.69,14.437,5.0,0.192,10.0
